161,tunnamunnachunna,Indian Institute of Technology Guwahati,2
162,SPD,Indian Institute of Technology Delhi,2
163,3MB,"National Institute of Technology, Jamshedpur",2
164,npComplete,Indian Institute of Technology Kharagpur,2
165,hackgp,Indian Institute of Technology Kharagpur,2
166,stormworm,Indian Institute of Technology Guwahati,2
167,limitless,Birla Institute of Technology Mesra,2
168,Missic,Delhi Technological University,2
169,Codetrotters,"Netaji Subhas Institute of Technology, New Delhi",2
170,three_sat,Indian Institute of Technology Guwahati,2
171,ROYALBENGAL,"Bengal Engineering and Science University, Shibpur",2
172,whiledOnes,Indian Institute of Technology Kharagpur,2
173,Incepticons,Delhi Technological University,2
174,invicto,Jaypee Institute of Information Technology,2
175,loopers,Delhi Technological University,2
176,KGP123,Indian Institute of Technology Kharagpur,2
177,CALICUT TITANS,"National Institute of Technology, Calicut",2
178,death eater,Indian Institute of Technology Kanpur,2
179,Deception,"International Institute of Information Technology, Hyderabad",2
180,Tesseract,Indian School of Mines,2
181,innovation,"International Institute of Information Technology, Hyderabad",2
182,rajdhanicoders,"Rajdhani College, University of Delhi",2
183,std_encoded,National Institute of Technology Warangal,2
184,syne,Indian Institute of Technology Guwahati,2
185,3Rookies,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",2
186,Cipher,Indian Institute of Technology Guwahati,2
187,batman,"Indraprastha Institute of Information Technology, Delhi",2
188,404 team not found,"National Institute of Technology, Durgapur",2
189,Mario_Bros,Indian Institute of Technology Kanpur,2
190,Losers,Indian Institute of Technology Ropar,2
191,ByteMe,"Birla Institute of Technology & Science Pilani, Pilani Campus",2
192,The Coders' Protocol,Graphic Era University,2
193,Great Heights,Indian Institute of Technology Kharagpur,2
194,BOOM!,"Indian Institute of Information Technology, Allahabad",2
195,THINkers,"International Institute of Information Technology, Hyderabad",2
196,RohMeh,"Abes Engineering college, Ghaziabad",2
197,Vithakaranunga,"College of Engineering, Guindy",2
198,ggwp,"Vellore Institute of Technology, Vellore",2
199,Limitless,"Bharati Vidyapeeth College of Engineering, Delhi",2
200,LDSIS,"International Institute of Information Technology, Bangalore",2
201,delta,"International Institute of Information Technology, Hyderabad",2
202,r3boot,Delhi Technological University,2
203,code_gamers,"Maulana Azad National Institute of Technology, Bhopal",2
204,se7en_sins,The LNM Institute of Information Technology,2
205,cheezyNibble,Jaypee Institute of Information Technology,2
